ID(游戏内部名),Health,AttackDamage,BasicAttackThreatGeneration,AttackSpeed,Speed,PointValue,DigAmmount,DigSpeed,Temperament,PhysicalResist,VenomResist,Armour,Evasion,HealthPerSecond,MaxSingleDamage,Piercing,SlowResist,AOEResist,CannotBePickedUp,CannotBeExercuted,CannotBeStunned,CannotBeConfused,CannotFlee,CannotBeStrongPickedUp,CannotBeKnockedBack,FoodHarvestTime,FoodCarryMax,FoodValue,WanderDistance,PickupTime,TargetRadius,ArrivalDistance,ReachableDistance,AttackTolDistance
SlaveMakerAnt3,120,7,0.0,1.46667,320,22,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0,0,0,0,0.2,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400,50.0,50.0,43.0
SlaverAnt1,20.0,2.0,0.0,1.0,300.0,10.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,32.0,24.0,29.0
SwarmQueen1,600.0,1.0,0.0,1.0,200.0,700.0,0.0,0.0,ECreatureTemperament::DoNotAttack,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,100,300.0,0.5,150.0,80.0,100.0,105.0
MoleCricket1,450.0,9.5,0.0,1.0,150.0,86.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0,0,0,0,0,0,0,1.0,15,19,500.0,0.5,600.0,70.0,65.0,50.0
RoyalGuard1,200.0,10.0,0.0,1.600000023841858,400.0,0.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,32.0,24.0,29.0
UberBeachTigerBeetle1,10000.0,15.0,0.0,1.600000023841858,800.0,3000.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,3000,600.0,0.5,600.0,80.0,75.0,56.0
UberDCHAdult1,10000.0,15.0,0.0,2.0,600.0,3000.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0,0,0,0,0,0,0,1.0,15,3000,600.0,0.5,600.0,80.0,75.0,56.0
UberBeachWolfSpider1,10000.0,410.0,0.0,1.2000000476837158,1200.0,3000.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.4000000059604645,0.0,0.0,0.0,6.0,0.0,0.6000000238418579,0.0,0,0,0,0,0,0,0,1.0,15,3000,600.0,0.5,600.0,80.0,75.0,56.0
UberHermitCrab1,12500.0,15.0,0.0,1.600000023841858,400.0,3000.0,50.0,0.699999988079071,ECreatureTemperament::AttackOnSight,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,3000,600.0,0.5,200.0,80.0,75.0,56.0
LeafcutterMinim1,1.0,0.6000000238418579,0.0,1.0,220.0,1.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1,0,500.0,0.5,400.0,28.0,20.0,25.0
LeafcutterMinor1,25.0,0.6000000238418579,0.0,1.0,300.0,2.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,7,0,500.0,0.5,400.0,28.0,20.0,25.0
LeafcutterMinor2,35.0,0.800000011920929,0.0,1.0,340.0,4.0,4.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,8,0,500.0,0.5,400.0,30.0,22.0,27.0
LeafcutterMinor3,45.0,1.0,0.0,1.0,380.0,5.0,6.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,9,0,500.0,0.5,400.0,32.0,24.0,29.0
LeafcutterMedia1,100.0,4.5,0.0,1.0,310.0,22.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.20000000298023224,0.0,0.10000000149011612,0.0,0.20000000298023224,0.0,0.0,0,0,0,0,0,0,0,1.0,17,0,500.0,0.5,400.0,40.0,30.0,35.0
LeafcutterMedia2,115.0,6.0,0.0,1.0,320.0,25.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.30000001192092896,0.0,0.0,0,0,0,0,0,0,0,1.0,19,0,500.0,0.5,400.0,42.0,32.0,37.0
LeafcutterMedia3,130.0,7.0,0.0,1.2999999523162842,330.0,37.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.800000011920929,0.0,0.30000001192092896,0.0,0.4000000059604645,0.0,0.0,0,0,0,0,0,0,0,1.0,22,0,500.0,0.5,400.0,44.0,34.0,39.0
LeafcutterMajorTaunt1,200.0,12.0,0.30000001192092896,0.800000011920929,300.0,40.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,16,0,500.0,0.5,450.0,60.0,50.0,42.0
LeafcutterMajorTaunt2,240.0,15.0,0.30000001192092896,0.800000011920929,300.0,60.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,16,0,500.0,0.5,460.0,62.0,52.0,43.0
LeafcutterMajorTaunt3,400.0,22.0,0.30000001192092896,1.0,300.0,100.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,16,0,500.0,0.5,470.0,64.0,54.0,44.0
LeafcutterMajorStun1,200.0,12.0,0.30000001192092896,0.800000011920929,300.0,40.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,16,0,500.0,0.5,450.0,60.0,50.0,42.0
LeafcutterMajorStun2,240.0,15.0,0.30000001192092896,0.800000011920929,300.0,60.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,16,0,500.0,0.5,460.0,62.0,52.0,43.0
LeafcutterMajorStun3,400.0,22.0,0.30000001192092896,1.0,300.0,100.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,16,0,500.0,0.5,470.0,64.0,54.0,44.0
LeafcutterSuperMajor1,3200.0,20.0,0.0,1.600000023841858,300.0,430.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,16,0,500.0,0.5,470.0,90.0,85.0,65.0
ArmyAnt1,30.0,3.0,0.0,1.2999999523162842,300.0,10.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.30000001192092896,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,28.0,20.0,25.0
ArmyAnt2,40.0,4.5,0.0,1.399999976158142,300.0,15.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.30000001192092896,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,30.0,22.0,27.0
ArmyAnt3,55.0,6.0,0.0,1.5,300.0,22.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.30000001192092896,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,32.0,24.0,29.0
ArmyAntMajor1,90.0,8.0,0.30000001192092896,1.0,320.0,30.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.20000000298023224,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,40.0,30.0,35.0
ArmyAntMajor2,105.0,10.0,0.30000001192092896,1.0,320.0,42.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.30000001192092896,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,42.0,32.0,37.0
ArmyAntMajor3,130.0,12.0,0.30000001192092896,1.2000000476837158,320.0,54.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.4000000059604645,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,44.0,34.0,39.0
BTBLarvae1,500.0,20.0,0.0,1.0,800.0,100.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1.0,15,30,500.0,0.5,600.0,55.0,50.0,39.0
PlayerControlledSpider1,100.0,80.0,0.0,1.0,400.0,400.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.6000000238418579,0.0,0,0,0,0,0,0,0,1.0,15,260,500.0,0.5,600.0,55.0,50.0,39.0
Harvestman_Large1,500.0,1.0,0.0,1.0,400.0,85.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.20000000298023224,0.0,0.30000001192092896,1.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,19,500.0,0.5,600.0,70.0,65.0,50.0
Harvestman_Small1,300.0,1.0,0.0,1.0,300.0,36.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.10000000149011612,0.30000001192092896,0.0,0.0,0.30000001192092896,0.0,0,0,0,0,0,0,0,1.0,15,9,500.0,0.5,700.0,40.0,30.0,35.0
JumpingSpider1,80.0,25.0,0.0,1.0,1200.0,53.0,0.0,0.0,ECreatureTemperament::AttackWhenFavorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,12,500.0,0.5,700.0,40.0,30.0,35.0
PMOld1,900.0,80.0,0.0,1.0,600.0,360.0,1.0,1.0,ECreatureTemperament::AttackWhenFavorable,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0,0,0,0,0,0,0,1.0,15,78,500.0,0.5,1200.0,95.0,80.0,53.0
PMYung1,110.0,25.0,0.0,1.0,450.0,70.0,1.0,1.0,ECreatureTemperament::AttackWhenFavorable,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0,0,0,0,0,0,0,1.0,15,15,500.0,0.5,1000.0,40.0,30.0,35.0
RoveBeetleA1,400.0,14.0,0.0,1.2000000476837158,320.0,215.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.10000000149011612,0.0,2.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,46,500.0,0.5,600.0,70.0,65.0,50.0
RoveBeetleALarva1,50.0,3.0,0.0,1.2000000476837158,320.0,18.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0,0,0,0,0,0,0,1.0,15,6,500.0,0.5,700.0,40.0,30.0,35.0
RoveBeetleB1,550.0,22.0,0.0,0.8999999761581421,200.0,143.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,31,500.0,0.5,600.0,70.0,65.0,50.0
RoveBeetleBLarva1,60.0,4.0,0.0,0.8999999761581421,200.0,18.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.30000001192092896,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,6,500.0,0.5,700.0,40.0,30.0,35.0
SpinyDevil_Large1,650.0,30.0,0.0,1.0,550.0,350.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,71,800.0,0.5,600.0,75.0,60.0,53.0
SpinyDevil_Medium1,500.0,25.0,0.0,1.0,500.0,200.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,42,800.0,0.5,600.0,60.0,60.0,53.0
SpinyDevil_Small1,180.0,8.0,0.0,1.0,350.0,45.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0,0,0,0,0,0,0,1.0,15,12,600.0,0.5,600.0,40.0,30.0,35.0
TrapjawAnt1,65,6,0.0,1,320,14,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0,0,0,0,0.1,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400,45.0,45.0,38.0
TrapjawAnt2,75,8,0.0,1,320,20,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0,0,0,0,0.1,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400,50.0,50.0,43.0
TrapjawAnt3,90,11,0.0,1,320,24,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0,0,0,0,0.1,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400,55.0,55.0,48.0
WhipSpider1,12000.0,40.0,0.0,1.0,450.0,1250.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.6000000238418579,0.0,0,0,0,0,0,0,0,1.0,15,812,1500.0,0.5,800.0,160.0,150.0,90.0
WhipSpider2,16000.0,40.0,0.0,1.0,450.0,1250.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.6000000238418579,0.0,0,0,0,0,0,0,0,1.0,15,812,1500.0,0.5,800.0,160.0,150.0,90.0
WhipSpider3,22000.0,40.0,0.0,1.0,450.0,1250.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.6000000238418579,0.0,0,0,0,0,0,0,0,1.0,15,812,1500.0,0.5,800.0,160.0,150.0,90.0
WhipSpiderling1,1800.0,25.0,0.0,1.0,300.0,450.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0,0,0,0,0,0,0,1.0,15,97,500.0,0.5,600.0,70.0,65.0,50.0
WhipSpiderling_Small1,150.0,6.0,0.0,1.0,250.0,55.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,0,0,0,0,0,0,0,1.0,15,12,500.0,0.5,600.0,40.0,30.0,35.0
HarvestmansLeg1,200.0,1.0,0.0,0.5,150.0,5.0,0.0,0.0,ECreatureTemperament::DoNotAttack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,100.0,50.0,45.0,35.0
LeafcutterQueen1,1200.0,1.0,0.0,1.0,0.0,700.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.4000000059604645,0.4000000059604645,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,0.0,0.5,150.0,80.0,100.0,105.0
